url,Name,Brand,Model,Colour,Memory,Price,Availability,Website
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7 Plus, iOS 10, 5.5"", 4G LTE, SIM Free, 128GB, (PRODUCT)RED",Apple,iPhone 7 Plus,Red,128GB,769.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Nokia 3 Smartphone, Android, 5"", 4G LTE, SIM Free, 16GB,",Nokia,,Black,16GB,129.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"STK R45i Mobile Phone, 1.77"", SIM Free, 32MB, Black",STK,,,32MB,12.99,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7 Plus, iOS 10, 5.5"", 4G LTE, SIM Free, 256GB,",Apple,iPhone 7 Plus,Jet Black,256GB,819.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"LG G6 Astro Smartphone, Android, 5.7"", 4G LTE, SIM Free, 32GB,",LG,,Black,32GB,439.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto E4 Smartphone, Android, 5"", 4G LTE, SIM Free, 16GB, Grey",Moto,,,16GB,129.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Nokia 5 Smartphone, Android, 5.2"", 4G LTE, SIM Free, 16GB,",Nokia,,Black,16GB,169.99,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy S7 Smartphone, Android, 5.1"", 4G LTE, SIM Free, 32GB,",Samsung,Galaxy S7,Gold,32GB,499.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Sony Xperia XA1 Smartphone, Android, 5"", 4G LTE, SIM Free, 32GB,",Sony,,White,32GB,229.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Turbo 7 Smartphone, Android, 5"", Pay As You Go (£10 Top Up Included), 8GB,",Vodafone,,Charcoal,8GB,65.95,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"BlackBerry KEYone Smartphone, Android, 4.5"", SIM Free, 32GB, Silver",BlackBerry,,,32GB,499.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Nokia 8 Smartphone, Android, 5.3”, 4G LTE, SIM Free, 64GB,",Nokia,,Steel,64GB,499.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"LG K4 Smartphone, Android, 5"", 4G LTE, SIM Free, 8GB",LG,,,8GB,99.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Mini 7 Smartphone, Android, 4"", Pay As You Go (£10 Top Up Included), 4GB,",Vodafone,,Black,,45.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7 Plus, iOS 10, 5.5"", 4G LTE, SIM Free, 256GB, (PRODUCT)RED",Apple,iPhone 7 Plus,Red,256GB,819.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"LG Q6 Astro Smartphone, Android, 5.5"", 4G LTE, SIM Free, 32GB, Black",LG,,,32GB,249.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Doro Liberto 825 Smartphone, Android, 5"", 4G LTE, SIM Free, 8GB, Black",Doro,,,8GB,209.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"LG K10 Smartphone, Android, 5.3"", 4G LTE, SIM Free, 16GB",LG,,,16GB,169.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Sony Xperia XZ Premium Smartphone, Android, 5.5"", 4G LTE, SIM Free, 64GB, Black",Sony,XZ Premium,Black,64GB,649.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"STK Life 8 Smartphone, Android, 5"", 4G LTE, SIM Free, 8GB, Black",STK,,,8GB,99.99,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Sony Xperia XZ Smartphone, Android, 5.2"", 4G LTE, SIM Free, 32GB,",Sony,,Forest Blue,32GB,449.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto Z2 Play Smartphone, Android, 5.5"", 4G LTE, SIM Free, 64GB, Lunar Grey",Moto,,,64GB,399.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart First 7 Smartphone, Android, 3.5"", Pay As You Go (£10 Top Up Included), 4GB,",Vodafone,,Black,,30.95,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Doro 6520 Smartphone, Android, 2.8"", Pay As You Go (£10 Top Up Included), 75MB",Vodafone,,,75MB,80.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Prime 7 Smartphone, Android, 5"", Pay As You Go (£10 Top Up Included), 6GB, Black",Vodafone,,,,90.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Sony E5 Smartphone, Android, 5"", Pay As You Go (£10 Top Up Included), 16GB, Black",Vodafone,,,16GB,140.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Platinum 7 Smartphone, Android, 5.5"", Pay As You Go (£10 Top Up Included), 32GB, Black",Vodafone,,,32GB,305.95,In Stock,John Lewis
